indRetif;tpAmb;procEmi;verProc;tpInsc;nrInsc;cpfTrab;nmTrab;sexo;racaCor;estCiv;grauInstr;dtNascto;codMunic;uf;paisNascto;paisNac;tpLograd;dscLograd;nrLograd;bairro;cep;codMunicEnd;ufEnd;dtAdmissao;tpAdmissao;indAdmissao;tpRegPrev;cadIni;tpRegTrab;nmCargo;cboCargo;natAtividade;tpContr;vrSalario;orgao
1;3;1;1.0;2;80967325000187;761.398.420-;LUIZ HENRIQUE MENDES;;3;2;4;1995-03-29;5203201;GO;105;105;RUA;Residencial de Costa;758;Pindura Saia;84411502;5262277;GO;99/99/9999;1;1;1;N;1;Analista de Sistemas;999999;2;1;;353-ECONOMIA
1;3;1;1.0;2;74012936000179;356.417.890-;eloah carvalho;M;4;2;3;32/13/2020;5206582;GO;105;105;RUA;Pátio João Lucas Pires;9133;Conjunto Jardim Filadélfia;05702323;5215906;GO;1900-01-01;1;1;1;N;1;Analista de Sistemas;999999;2;2;AAAA;315-SES
1;3;1;1.0;2;24157036000141;;;M;6;4;8;32/13/2020;5298536;GO;105;105;RUA;Campo Lopes;4051;Trevo;;5236347;GO;99/99/9999;1;1;1;N;1;;ABC;1;2;AAAA;660-DGPP
1;3;1;1.0;2;80967325000187;12345678901234567890;Maria Alice Melo   ;;1;2;3;2000-05-04;5250205;GO;105;105;RUA;Alameda Gabrielly da Paz;2504;Aparecida;;5228043;GO;2019-12-25;1;1;1;N;1;;999999;2;2;7405,07;353-ECONOMIA
1;3;1;1.0;2;24157036000141;;pedro miguel souza;;4;4;1;32/13/2020;5239139;GO;105;105;RUA;Via Esther Nogueira;6390;São Sebastião;ABCDE;5270545;GO;99/99/9999;1;1;1;N;1;;ABC;1;2;;660-DGPP
1;3;1;1.0;2;24157036000141;12345678901234567890;;;2;4;3;1971-11-04;5251645;GO;105;105;RUA;Praça Leandro da Cunha;9698;Carlos Prates;;5286900;GO;2023-05-17;1;1;1;N;1;Analista de Sistemas;ABC;2;1;13269,07;
1;3;1;1.0;2;24157036000141;12345678901234567890;MARIA JULIA ROCHA;F;3;3;7;32/13/2020;5298567;GO;105;105;RUA;Estrada da Mata;6907;Ouro Minas;ABCDE;5210735;GO;1900-01-01;1;1;1;N;1;Analista de Sistemas;ABC;1;2;4914,89;660-DGPP
1;3;1;1.0;2;61723905000184;074.312.596-;ANA SOPHIA CAVALCANTI;M;1;5;3;1978-12-17;5216544;GO;105;105;RUA;Estrada Caio Cardoso;7759;Vila Novo São Lucas;;5214993;GO;99/99/9999;1;1;1;N;1;Analista de Sistemas;999999;2;2;AAAA;304-PGE
1;3;1;1.0;2;61723905000184;719.352.864-;Kaique Barbosa   ;M;5;1;5;32/13/2020;5251990;GO;105;105;RUA;Alameda de Gonçalves;3250;Novo Glória;91695752;5277607;GO;99/99/9999;1;1;1;N;1;;212405;1;2;AAAA;304-PGE
1;3;1;1.0;2;17295083000196;234.986.571-;Dr. Luiz Felipe da Mata   ;;4;6;6;2007-04-18;5266317;GO;105;105;RUA;Chácara de Moreira;5591;Trevo;53163328;5255057;GO;1900-01-01;1;1;1;N;1;Analista de Sistemas;999999;2;2;;
1;3;1;1.0;2;17295083000196;;Eduardo Cardoso   ;;5;4;8;32/13/2020;5295817;GO;105;105;RUA;Setor Porto;9708;Santa Branca;ABCDE;5242245;GO;2016-11-29;1;1;1;N;1;Analista de Sistemas;999999;2;1;AAAA;308-SEAD
